Country Name, Country Code, p1990, p1991, p1992, p1993, p1994, p1995, p1996, p1997, p1998, p1999, p2000, p2001, p2002, p2003, p2004, p2005, p2006, p2007, p2008, p2009, p2010, p2011, p2012, p2013, p2014, g1990, g1991, g1992, g1993, g1994, g1995, g1996, g1997, g1998, g1999, g2000, g2001, g2002, g2003, g2004, g2005, g2006, g2007, g2008, g2009, g2010, g2011, g2012, g2013, g2014, ghg1990, ghg1991,ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014 
Afghanistan,AFG,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,,,,,,,,,,,,,839.485886052574,888.153370010523,885.840818978255,979.2739786155,1031.64313483579,1176.12635744176,1218.11821481256,1454.66301483469,1637.3779870888,1626.76479325583,1806.76392975325,1874.7656344942,1897.52593759521,15.2128,15.2864,14.0105,14.0281,13.9854,14.3349,15.3232,16.2845,17.1244,18.0006,16.496,15.2094,17.6991,18.4304,18.1513,18.9847,19.6229,20.3989,23.63,26.9429,30.6296,34.713,34.5016,33.1709,33.3661
Angola,AGO,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,3089.68336938602,3120.356148207,2908.16079788943,2190.76815959398,2195.53228855789,2496.19949344602,2794.89690618184,2953.34270861131,3027.34179532139,3037.72117508021,3097.30729226514,3191.26632340714,3564.0960260637,3614.60727757145,3978.69719450811,4555.18584238934,5048.87644916017,5697.25132784013,6221.42337306937,6092.78324495025,6230.29702794539,6346.39512245023,6772.528333315,6980.42303770718,7199.24547788095,52.2201,53.8142,55.0744,56.7951,57.8733,63.2029,63.7696,64.5327,67.6438,67.6789,68.9825,73.8661,78.2501,89.9323,95.7309,99.0156,105.9221,119.1198,127.0014,137.1651,147.6876,151.1196,150.5324,155.8722,157.8168
Albania,ALB,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2549.47302184864,1909.11403844065,1823.3076726019,2057.44965660515,2289.87313528701,2665.76490612085,2980.06628849811,2717.36212449434,3021.01473768125,3471.65259162591,3861.334172426,4301.35279874992,4661.37155341076,4994.51880731917,5422.7784619431,5865.30619612569,6559.78325677995,7276.30296869082,8228.37393434179,8814.79960576386,9628.01801665153,10207.751719347,10526.2356037242,10571.0133906469,11259.2288794822,11.692,9.119,6.8705,6.597,7.1382,6.6947,6.4076,5.6799,5.9166,7.0848,7.3741,7.3494,7.9868,8.4026,8.4785,8.2514,8.1501,8.1888,7.9577,8.0308,8.3122,8.7857,8.3722,8.557,9.0365
Andorra,AND,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,,,,,,,,,,,,,,,,,,,,,,,,,,0.4294,0.4307,0.4321,0.4371,0.4348,0.4545,0.485,0.4971,0.5238,0.5469,0.5591,0.5604,0.5691,0.5742,0.6012,0.6172,0.5898,0.5843,0.5861,0.5659,0.5678,0.5434,0.5411,0.5315,0.5181
United Arab Emirates,ARE,1828432,1937153,2052891,2173139,2294385,2415090,2539126,2671362,2813214,2966034,3134062,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,72906.5201192638,71753.7295623605,71567.8275246238,70082.3893272536,72471.6872850679,74994.3806244452,76848.7922432618,80390.0641128511,77421.1086604052,76654.2559064146,82215.3144683902,80843.6053740834,79863.4897328465,82946.3352078161,85147.2190945696,81635.4679747818,79970.736249785,72802.1616025434,66641.4842825541,56975.5293798538,54230.1736734082,56574.2881750551,58961.2020109326,62641.836986401,66516.8822549128,74.6428,81.3419,80.0797,83.1663,90.0009,95.035,98.8222,105.0768,108.3051,111.0274,110.0929,122.6269,125.7554,132.3778,139.7685,147.171,153.8065,165.1836,191.2976,191.5703,196.2646,204.2663,214.368,218.7826,221.5072
Argentina,ARG,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,7380.11503126293,8210.6434322406,8942.56985338672,9777.21400455893,10435.9107722067,10225.1187126326,10857.429668462,11802.842587708,12255.6762581191,11878.7311737753,11916.5826090011,11514.6191069309,10310.1291162543,11307.7579845085,12527.8004963472,13916.5305135208,15334.9368605184,16994.6959838827,17850.130189637,16753.3948879075,18524.856756023,19817.4504765479,19764.2250139108,20365.6133493801,20008.3206437752,233.0957,237.5316,241.8817,242.0501,252.1711,253.8123,262.9425,266.9057,268.589,275.3448,277.5082,271.2806,263.9795,284.2345,299.1197,302.6715,316.2335,326.8328,335.5216,319.7705,320.1575,328.1953,333.9591,334.2374,348.6472
Armenia,ARM,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2428.55895976794,2237.75272824856,1356.21078599999,1296.17849767974,1429.1023861665,1591.89484571486,1742.73411429696,1852.20010204092,2025.55542011483,2136.12159826213,2327.3625215133,2621.85436449287,3031.1218818666,3539.6302673497,4038.45507488035,4772.59004736714,5609.16896953362,6609.17182383653,7264.56119514098,6326.65796858965,6565.67866042888,7019.76774846004,7649.06153123358,8003.0877626689,8405.07365471786,23.9429,24.5752,14.2386,8.132,5.6361,6.2392,5.1794,5.7977,5.7513,5.253,5.595,5.7346,5.3548,5.7674,6.1323,6.8682,7.0136,7.8072,8.3775,7.2457,7.0715,7.7079,8.6009,8.5935,8.6263
Australia,AUS,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,17329.5778815556,17790.7655222682,18189.0773364521,19131.5398287392,20064.2866977941,20894.3972067408,21972.0526522953,22934.7860068545,24196.7212783416,25264.3643562136,26328.6736837152,27336.6826900614,28718.241079556,29693.9059129237,31327.3774922975,32575.0692539649,34306.6523094004,36560.4056480642,37459.307649507,40300.3082316095,39324.3689530042,41965.3584189919,42826.789579996,45902.047948361,46880.2206571585,478.2095,477.0836,477.0781,478.3845,485.4769,493.1283,495.6323,501.9787,529.9795,565.999,588.0207,594.7678,593.9823,537.0973,583.9559,558.6473,593.3024,593.2156,573.521,587.8017,561.6214,646.9771,648.6069,580.0997,589.7345
Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,19442.312042665,20585.0193104127,21259.6367506188,21698.3076736738,22606.8296418745,23660.4086083689,24529.2078275032,25424.0699288625,26674.609548055,27606.4830303088,29380.0660424793,29715.2222181289,31178.6933297272,32108.632547686,33743.0447084692,35013.7140443423,37623.0757580996,39392.5405883999,41316.225176699,40926.5237645676,42006.0468807427,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,74.9927,78.9379,73.7873,73.7721,73.6969,76.3133,79.8759,78.7915,79.2308,77.3638,77.3954,81.501,82.9353,88.7603,88.5856,89.0648,86.4195,84.0461,84.3307,77.9121,82.8152,81.1072,78.1579,78.4743,75.1477
Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,5703.86998127308,5765.2877348042,4495.39784874786,3485.51157527102,2820.2511760786,2510.53851015471,2563.72099334445,2732.70029297773,3011.08769910818,3251.93494893839,3663.44525692196,4082.68232952958,4504.97648533603,5018.89005626504,5581.87125768037,7290.22995295019,9989.20647283288,12724.3483374698,14047.6601948804,15162.8877986052,15884.0447883734,15754.1523626148,16193.3956654319,17216.1785349866,17808.9018991513,74.8595,83.5539,59.4784,67.4413,60.6565,58.2767,53.2786,53.0013,53.4701,53.4343,55.1549,54.8951,55.2026,52.327,53.0363,56.4608,56.7838,52.7332,57.5843,55.788,57.4039,63.5647,67.4535,69.7221,72.5978
