Country Name, Country Code, p1990, p1991, p1992, p1993, p1994, p1995, p1996, p1997, p1998, p1999, p2000, p2001, p2002, p2003, p2004, p2005, p2006, p2007, p2008, p2009, p2010, p2011, p2012, p2013, p2014, g1990, g1991, g1992, g1993, g1994, g1995, g1996, g1997, g1998, g1999, g2000, g2001, g2002, g2003, g2004, g2005, g2006, g2007, g2008, g2009, g2010, g2011, g2012, g2013, g2014, ghg1990, ghg1991,ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014 
Afghanistan,AFG,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,0,0,0,0,0,0,0,0,0,0,0,0,839,888,886,979,1032,1176,1218,1455,1637,1627,1807,1875,1898,15.2128,15.2864,14.0105,14.0281,13.9854,14.3349,15.3232,16.2845,17.1244,18.0006,16.496,15.2094,17.6991,18.4304,18.1513,18.9847,19.6229,20.3989,23.63,26.9429,30.6296,34.713,34.5016,33.1709,33.3661
Angola,AGO,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,3090,3120,2908,2191,2196,2496,2795,2953,3027,3038,3097,3191,3564,3615,3979,4555,5049,5697,6221,6093,6230,6346,6773,6980,7199,52.2201,53.8142,55.0744,56.7951,57.8733,63.2029,63.7696,64.5327,67.6438,67.6789,68.9825,73.8661,78.2501,89.9323,95.7309,99.0156,105.9221,119.1198,127.0014,137.1651,147.6876,151.1196,150.5324,155.8722,157.8168
Albania,ALB,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2549,1909,1823,2057,2290,2666,2980,2717,3021,3472,3861,4301,4661,4995,5423,5865,6560,7276,8228,8815,9628,10208,10526,10571,11259,11.692,9.119,6.8705,6.597,7.1382,6.6947,6.4076,5.6799,5.9166,7.0848,7.3741,7.3494,7.9868,8.4026,8.4785,8.2514,8.1501,8.1888,7.9577,8.0308,8.3122,8.7857,8.3722,8.557,9.0365
Andorra,AND,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4294,0.4307,0.4321,0.4371,0.4348,0.4545,0.485,0.4971,0.5238,0.5469,0.5591,0.5604,0.5691,0.5742,0.6012,0.6172,0.5898,0.5843,0.5861,0.5659,0.5678,0.5434,0.5411,0.5315,0.5181
United Arab Emirates,ARE,1828432,1937153,2052891,2173139,2294385,2415090,2539126,2671362,2813214,2966034,3134062,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,72907,71754,71568,70082,72472,74994,76849,80390,77421,76654,82215,80844,79863,82946,85147,81635,79971,72802,66641,56976,54230,56574,58961,62642,66517,74.6428,81.3419,80.0797,83.1663,90.0009,95.035,98.8222,105.0768,108.3051,111.0274,110.0929,122.6269,125.7554,132.3778,139.7685,147.171,153.8065,165.1836,191.2976,191.5703,196.2646,204.2663,214.368,218.7826,221.5072
Argentina,ARG,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,7380,8211,8943,9777,10436,10225,10857,11803,12256,11879,11917,11515,10310,11308,12528,13917,15335,16995,17850,16753,18525,19817,19764,20366,20008,233.0957,237.5316,241.8817,242.0501,252.1711,253.8123,262.9425,266.9057,268.589,275.3448,277.5082,271.2806,263.9795,284.2345,299.1197,302.6715,316.2335,326.8328,335.5216,319.7705,320.1575,328.1953,333.9591,334.2374,348.6472
Armenia,ARM,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2429,2238,1356,1296,1429,1592,1743,1852,2026,2136,2327,2622,3031,3540,4038,4773,5609,6609,7265,6327,6566,7020,7649,8003,8405,23.9429,24.5752,14.2386,8.132,5.6361,6.2392,5.1794,5.7977,5.7513,5.253,5.595,5.7346,5.3548,5.7674,6.1323,6.8682,7.0136,7.8072,8.3775,7.2457,7.0715,7.7079,8.6009,8.5935,8.6263
Australia,AUS,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,17330,17791,18189,19132,20064,20894,21972,22935,24197,25264,26329,27337,28718,29694,31327,32575,34307,36560,37459,40300,39324,41965,42827,45902,46880,478.2095,477.0836,477.0781,478.3845,485.4769,493.1283,495.6323,501.9787,529.9795,565.999,588.0207,594.7678,593.9823,537.0973,583.9559,558.6473,593.3024,593.2156,573.521,587.8017,561.6214,646.9771,648.6069,580.0997,589.7345
Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,19442,20585,21260,21698,22607,23660,24529,25424,26675,27606,29380,29715,31179,32109,33743,35014,37623,39393,41316,40927,42006,44453,46457,47922,48800,74.9927,78.9379,73.7873,73.7721,73.6969,76.3133,79.8759,78.7915,79.2308,77.3638,77.3954,81.501,82.9353,88.7603,88.5856,89.0648,86.4195,84.0461,84.3307,77.9121,82.8152,81.1072,78.1579,78.4743,75.1477
Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,5704,5765,4495,3486,2820,2511,2564,2733,3011,3252,3663,4083,4505,5019,5582,7290,9989,12724,14048,15163,15884,15754,16193,17216,17809,74.8595,83.5539,59.4784,67.4413,60.6565,58.2767,53.2786,53.0013,53.4701,53.4343,55.1549,54.8951,55.2026,52.327,53.0363,56.4608,56.7838,52.7332,57.5843,55.788,57.4039,63.5647,67.4535,69.7221,72.5978
