Country Name, Country Code,p1990,p1991,p1992,p1993,p1994,p1995,p1996,p1997,p1998,p1999,p2000,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,ghg1990,ghg1991ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014
Afghanistan,AFG,1.24,1.33,1.45,1.58,1.71,1.81,1.89,1.94,1.97,2.02,2.08,2.16,2.26,2.37,2.47,2.57,2.64,2.71,2.77,2.84,2.92,3.01,3.12,3.23,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.395,8.882,8.857999999999999,9.793,10.315999999999999,11.761,12.181,14.547,16.374000000000002,16.268,18.067999999999998,18.748,18.975,15.2128,15.2864,14.0105,14.0281,13.9854,14.3349,15.3232,16.2845,17.1244,18.0006,16.496,15.2094,17.6991,18.4304,18.1513,18.9847,19.6229,20.3989,23.63,26.9429,30.6296,34.713,34.5016,33.1709,33.3661
Angola,AGO,1.18,1.22,1.27,1.31,1.35,1.39,1.44,1.49,1.54,1.59,1.64,1.69,1.75,1.81,1.88,1.94,2.01,2.09,2.17,2.25,2.34,2.42,2.51,2.6,2.69,30.897,31.204,29.081999999999997,21.908,21.955,24.962,27.949,29.533,30.273000000000003,30.377,30.973000000000003,31.913,35.641,36.146,39.787,45.552,50.489,56.973,62.214,60.928000000000004,62.303000000000004,63.464,67.725,69.804,71.992,52.2201,53.8142,55.0744,56.7951,57.8733,63.2029,63.7696,64.5327,67.6438,67.6789,68.9825,73.8661,78.2501,89.9323,95.7309,99.0156,105.9221,119.1198,127.0014,137.1651,147.6876,151.1196,150.5324,155.8722,157.8168
Albania,ALB,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,25.495,19.090999999999998,18.233,20.574,22.899,26.658,29.801,27.174,30.21,34.717,38.613,43.013999999999996,46.614,49.945,54.228,58.653,65.598,72.763,82.28399999999999,88.148,96.28,102.07799999999999,105.262,105.71,112.59200000000001,11.692,9.119,6.8705,6.597,7.1382,6.6947,6.4076,5.6799,5.9166,7.0848,7.3741,7.3494,7.9868,8.4026,8.4785,8.2514,8.1501,8.1888,7.9577,8.0308,8.3122,8.7857,8.3722,8.557,9.0365
Andorra,AND,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4294,0.4307,0.4321,0.4371,0.4348,0.4545,0.485,0.4971,0.5238,0.5469,0.5591,0.5604,0.5691,0.5742,0.6012,0.6172,0.5898,0.5843,0.5861,0.5659,0.5678,0.5434,0.5411,0.5315,0.5181
United Arab Emirates,ARE,0.18,0.19,0.21,0.22,0.23,0.24,0.25,0.27,0.28,0.3,0.31,0.33,0.35,0.37,0.41,0.46,0.53,0.62,0.71,0.79,0.85,0.89,0.91,0.92,0.92,729.065,717.5369999999999,715.678,700.824,724.717,749.944,768.488,803.9010000000001,774.211,766.543,822.153,808.436,798.635,829.4630000000001,851.472,816.355,799.707,728.0219999999999,666.415,569.755,542.302,565.743,589.612,626.418,665.169,74.6428,81.3419,80.0797,83.1663,90.0009,95.035,98.8222,105.0768,108.3051,111.0274,110.0929,122.6269,125.7554,132.3778,139.7685,147.171,153.8065,165.1836,191.2976,191.5703,196.2646,204.2663,214.368,218.7826,221.5072
Argentina,ARG,3.26,3.31,3.35,3.4,3.44,3.48,3.52,3.57,3.61,3.65,3.69,3.73,3.77,3.81,3.85,3.89,3.93,3.97,4.01,4.05,4.08,4.13,4.17,4.22,4.27,73.801,82.10600000000001,89.426,97.772,104.359,102.251,108.574,118.02799999999999,122.557,118.787,119.166,115.146,103.101,113.07799999999999,125.27799999999999,139.165,153.349,169.947,178.50099999999998,167.53400000000002,185.24900000000002,198.175,197.642,203.65599999999998,200.083,233.0957,237.5316,241.8817,242.0501,252.1711,253.8123,262.9425,266.9057,268.589,275.3448,277.5082,271.2806,263.9795,284.2345,299.1197,302.6715,316.2335,326.8328,335.5216,319.7705,320.1575,328.1953,333.9591,334.2374,348.6472
Armenia,ARM,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,24.285999999999998,22.378,13.562000000000001,12.962,14.290999999999999,15.919,17.427,18.522000000000002,20.256,21.361,23.274,26.219,30.311,35.396,40.385,47.726000000000006,56.092,66.092,72.646,63.266999999999996,65.657,70.19800000000001,76.491,80.031,84.051,23.9429,24.5752,14.2386,8.132,5.6361,6.2392,5.1794,5.7977,5.7513,5.253,5.595,5.7346,5.3548,5.7674,6.1323,6.8682,7.0136,7.8072,8.3775,7.2457,7.0715,7.7079,8.6009,8.5935,8.6263
Australia,AUS,1.71,1.73,1.75,1.77,1.79,1.81,1.83,1.85,1.87,1.89,1.92,1.94,1.97,1.99,2.01,2.04,2.07,2.08,2.12,2.17,2.2,2.23,2.27,2.31,2.35,173.296,177.908,181.891,191.315,200.643,208.94400000000002,219.72099999999998,229.34799999999998,241.967,252.644,263.28700000000003,273.367,287.182,296.939,313.274,325.751,343.06699999999995,365.60400000000004,374.593,403.00300000000004,393.244,419.654,428.26800000000003,459.02,468.80199999999996,478.2095,477.0836,477.0781,478.3845,485.4769,493.1283,495.6323,501.9787,529.9795,565.999,588.0207,594.7678,593.9823,537.0973,583.9559,558.6473,593.3024,593.2156,573.521,587.8017,561.6214,646.9771,648.6069,580.0997,589.7345
Austria,AUT,0.77,0.78,0.78,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.85,0.85,194.423,205.85,212.59599999999998,216.983,226.06799999999998,236.604,245.292,254.24099999999999,266.746,276.065,293.801,297.152,311.78700000000003,321.086,337.43,350.13699999999994,376.231,393.925,413.162,409.265,420.06,444.527,464.57300000000004,479.22,487.99699999999996,74.9927,78.9379,73.7873,73.7721,73.6969,76.3133,79.8759,78.7915,79.2308,77.3638,77.3954,81.501,82.9353,88.7603,88.5856,89.0648,86.4195,84.0461,84.3307,77.9121,82.8152,81.1072,78.1579,78.4743,75.1477
Azerbaijan,AZE,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.78,0.79,0.8,0.8,0.81,0.82,0.82,0.83,0.84,0.85,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,57.038999999999994,57.653,44.95399999999999,34.855,28.203000000000003,25.105,25.636999999999997,27.326999999999998,30.111,32.519,36.634,40.827,45.05,50.18899999999999,55.818999999999996,72.902,99.89200000000001,127.243,140.477,151.629,158.84,157.542,161.934,172.162,178.08900000000003,74.8595,83.5539,59.4784,67.4413,60.6565,58.2767,53.2786,53.0013,53.4701,53.4343,55.1549,54.8951,55.2026,52.327,53.0363,56.4608,56.7838,52.7332,57.5843,55.788,57.4039,63.5647,67.4535,69.7221,72.5978
