id,type,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
207500,1,University of Oklahoma Norman Campus,6873,5900,5167,4790,5090,4632,3876,3747,3654,3540,3242,3424,2396,6476,7864,18295,7483,17464,7423,17404,6507,15621,5110,13399,5008,12901,4515,12033,3983,10112,2929,8077,2713,7437,2581,6916,27138
207388,1,Oklahoma State University-Main Campus,5458,5011,4889,3985,3835,3650,3472,3378,3339,3362,3255,3027,2340,6400,6779,17601,6202,16556,6201,16556,5491,14916,4997,13569,4365,12389,4071,11361,3520,9420,2760,7480,2556,6706,2340,6400,24390
207935,1,Tulsa Community College,4371,4661,2669,2444,2088,2034,2132,2067,2082,2147,1973,1969,1438,3508,2313,6231,2204,5937,2622,6935,2373,6366,2373,6366,2277,6009,1703,4467,1535,3935,1609,3853,1438,3508,1438,3508,20154
206941,1,University of Central Oklahoma,5913,5251,5338,4597,1576,3498,3285,1659,2269,2121,1002,2000,1936,4456,4456,11242,4223,10652,4223,10652,3857,9729,3539,8924,3618,8628,3012,7586,2550,6190,2187,5081,2067,4814,1936,4456,17239
207449,1,Oklahoma City Community College,5001,5273,2188,3083,1325,2526,2436,2292,2272,2223,2237,2289,1094,2714,2659,7087,2521,6721,2521,6721,2340,6240,2191,5836,1935,4967,1726,4515,1726,4515,1204,3127,809,2574,1368,3393,14941
207263,1,Northeastern State University,4679,5377,4864,3845,3216,3227,3125,3118,2893,2598,2358,2180,1926,4581,4385,10722,4155,10245,4155,10245,3798,9318,3489,8589,3270,8040,3000,7350,2700,6600,2312,5465,2136,5029,2003,4658,9316
207670,1,Rose State College,4466,3799,3792,2813,2013,2203,2017,1210,1160,1140,1184,876,1095,2715,2660,7970,2490,7350,2490,7350,2340,6798,2134,5978,1949,5238,1777,4272,1627,4272,1220,3144,1163,1163,1100,2720,8150
206914,1,Cameron University,5279,3923,3767,3297,2951,2786,2783,2676,2488,2676,2509,2557,1970,4325,4336,10553,4110,9975,4020,9742,3872,9344,3588,8380,3360,7904,3228,7388,2778,6678,2118,5002,1964,4435,1908,4385,6463
207281,1,Northern Oklahoma College,5169,6095,5231,4588,3642,2897,2849,2181,2042,1877,720,2269,1296,3321,2526,6231,2303,5813,2302,5812,2097,5362,2060,5083,1988,5011,1910,4760,1820,4465,1529,3933,1376,3582,1265,3294,5422
207865,1,Southwestern Oklahoma State University,4933,4818,4571,5255,3904,3434,3670,3072,1982,1792,2446,2339,1956,4476,4335,10050,4110,9450,3536,8164,3198,7410,3680,8480,3456,8256,3200,7680,2948,6658,2416,5601,2212,5032,1972,4476,5263
208035,1,Western Oklahoma State College,4575,4030,3886,3171,2957,2790,2851,2488,2387,2478,2429,1171,1400,1800,2750,6234,2750,5998,2750,6230,2550,3135,2400,3135,2320,3135,2150,2715,1925,2565,1725,2565,1650,2206,1500,2025,5035
207041,1,East Central University,4548,1862,4654,3728,2380,2180,3974,1214,2413,2439,2523,2251,1961,4452,4482,10798,4271,10286,4271,10286,3930,9404,3578,8674,3256,7890,3042,7332,2548,5768,2260,5396,2024,5970,1840,4600,4851
207661,1,Rogers State University,4615,4558,4321,2697,3052,3927,2576,2722,1111,894,2224,1179,1457,3354,4513,10270,4277,9734,4277,9734,3893,8858,3300,7860,3330,7890,2676,6576,2441,5735,2325,5318,1063,2436,1619,3635,4803
207847,1,Southeastern Oklahoma State University,3527,3363,3492,3548,2930,2695,2612,3511,2124,2538,3377,1255,2036,2670,4652,11379,4416,10787,4316,10687,3668,9080,3156,7656,3040,7380,3123,7452,2947,6847,2250,5043,2120,4683,1934,4286,4140
207971,2,University of Tulsa,6765,6768,7891,5994,6543,5710,5531,5307,4989,4038,3970,3739,13680,,28735,28735,27237,27237,24365,24365,22195,22195,21113,21113,19235,19235,18005,18005,16805,16805,15265,15265,14555,14555,14085,14085,4092
207458,2,Oklahoma City University,7658,7002,7039,4707,4599,4622,4237,4791,8926,6807,5171,4179,9410,,25760,25760,23950,23950,23400,23400,21000,21000,19200,19200,18000,18000,16400,16400,14094,14094,12375,12375,10800,10800,10080,10080,3575
207582,2,Oral Roberts University,7896,7771,8864,7734,10746,9818,7281,7403,7333,6519,5810,5590,10968,,20054,20054,19106,19106,18385,18385,17800,17800,16670,16670,15880,15880,14600,14600,13970,13970,12600,12600,11900,11900,11300,11300,3259
207209,1,Langston University,7742,7413,8932,5842,5045,4981,5438,5454,4720,4243,4112,3778,2189,4852,3974,9833,3827,9407,3827,9407,3596,8710,3465,8100,3240,7280,3004,7068,2762,6374,2644,3068,1888,4204,2202,4856,2840
207236,1,Murray State College,5417,2885,4520,4037,2450,1783,1830,3405,2854,1234,,,1390,3437,2990,7070,2840,6650,3004,6664,2566,6180,2040,5190,2220,5354,2074,5088,1850,4898,1698,4304,1562,3779,,,2674
