id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Afghanistan,AFG,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,3090,3120,2908,2191,2196,2496,2795,2953,3027,3038,3097,3191
Albania,ALB,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2549,1909,1823,2057,2290,2666,2980,2717,3021,3472,3861,4301
Andorra,AND,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1828432,1937153,2052891,2173139,2294385,2415090,2539126,2671362,2813214,2966034,3134062,3302719,3478777,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,72907,71754,71568,70082,72472,74994,76849,80390,77421,76654,82215,80844
Argentina,ARG,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,7380,8211,8943,9777,10436,10225,10857,11803,12256,11879,11917,11515
Armenia,ARM,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2429,2238,1356,1296,1429,1592,1743,1852,2026,2136,2327,2622
Australia,AUS,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,17330,17791,18189,19132,20064,20894,21972,22935,24197,25264,26329,27337
Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,19442,20585,21260,21698,22607,23660,24529,25424,26675,27606,29380,29715
Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,5704,5765,4495,3486,2820,2511,2564,2733,3011,3252,3663,4083
Burundi,BDI,5438957,5564926,5685565,5798053,5898967,5987043,6060111,6122130,6185562,6267124,6378871,6525545,6704113,7131693,7364862,7607849,7862214,8126102,8397668,8675602,8958406,9245988,9540289,9844297,667,707,715,673,650,602,557,552,579,574,571,582
Belgium,BEL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,18759,19676,20349,20551,21600,22532,22891,23928,24564,25642,27988,28958
Benin,BEN,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,949,989,1006,1052,1059,1110,1142,1192,1217,1262,1326,1385
Burkina Faso,BFA,8811034,9050084,9297113,9552476,9816588,10089878,10372745,10665546,10968724,11282701,11607942,11944587,12293100,13030569,13421930,13829176,14252021,14689725,15141098,15605217,16081911,16571246,17072775,17586017,548,602,600,619,623,654,719,757,798,846,856,906
Bangladesh,BGD,103171956,105599127,107983704,110350639,112737683,115169930,117649932,120160564,122682815,125189651,127657854,130088702,132478086,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,860,899,948,995,1033,1085,1131,1177,1226,1276,1347,1419
Bulgaria,BGR,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7493,7163,6867,6981,7284,7684,6779,5697,6141,5767,6378,6909
Bahrain,BHR,495931,509760,523086,536210,549583,563697,578666,594931,613700,636541,664611,697545,735146,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,22786,25491,27108,30555,30372,31420,32449,33099,34002,34685,35763,35689
"Bahamas, The",BHS,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,20120,19566,18883,19029,19700,20669,21643,22206,23253,24976,26238,27102
Belarus,BLR,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,5429,5543,5114,4826,4358,3999,4201,4780,5265,5546,6027,6484
Belize,BLZ,187552,191128,194324,197622,201680,206963,213664,221580,230244,238988,247315,255063,262378,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,3320,3754,4232,4527,4538,4544,4546,4617,4662,4956,5533,5758
Bolivia,BOL,6864842,7011453,7160920,7312850,7466793,7622338,7779267,7937458,8096761,8257066,8418264,8580235,8742814,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,2403,2560,2606,2724,2852,2986,3109,3253,3387,3384,3478,3546
Brazil,BRA,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,6711,6920,6925,7298,7724,8103,8300,8595,8588,8624,9074,9274
Barbados,BRB,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,9165,9070,8597,8875,9371,9722,10251,10875,11360,11514,12248,12175
Bhutan,BTN,530804,534632,534516,532596,531897,534620,541465,551709,564377,577881,591021,603640,616018,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,1527,1561,1671,1751,1879,2044,2169,2282,2389,2556,2732,2958
Botswana,BWA,1286756,1326322,1363554,1399110,1434059,1469174,1504730,1540425,1575824,1610264,1643334,1674678,1704642,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,5517,5946,6088,6190,6392,6818,7174,7722,7668,8348,8529,8574
Central African Republic,CAF,2806734,2878509,2959236,3046149,3135015,3222656,3308233,3392436,3475492,3558014,3640427,3722018,3802128,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,638,639,595,594,618,658,627,655,677,695,677,707
Canada,CAN,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,20174,20161,20557,21367,22556,23402,23962,25168,26220,27746,29265,30108
Switzerland,CHE,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,27595,27915,28226,28597,29344,29902,30542,31813,32919,33814,35755,36778
Chile,CHL,13274623,13495258,13719819,13944937,14166340,14380866,14587370,14786220,14977733,15162800,15342353,15516113,15684409,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,4511,4953,5623,6119,6569,7352,8012,8637,8996,8977,9554,9973
China,CHN,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,988,1101,1270,1464,1671,1873,2074,2281,2464,2668,2936,3227
Cote d'Ivoire,CIV,11924877,12362407,12812421,13271643,13735433,14199762,14665127,15130663,15589414,16032573,16454668,16853026,17231539,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,2132,2127,2094,2065,2055,2174,2309,2362,2433,2438,2379,2376
